t,F0,F1,F2,F3,F4,A0,A1,A2,A3,A4
6.01,-0.9422273895622152,-0.9422273895622152,-0.9422273895622152,-0.9422273895622152,-0.9422273895622152,-0.7738402193737317,-0.541415535182303,-0.3093754143433249,-0.07738838650007618,0.154664921360729
6.0200000000000005,-0.9991357768708841,-0.9991357768708841,-0.9991357768708841,-0.9991357768708841,-0.9991357768708841,-0.8610832422888438,-0.6024522321057071,-0.34425263177173016,-0.08611308425258254,0.1721004301803165
6.03,-0.9667943409090064,-0.9667943409090064,-0.9667943409090064,-0.9667943409090064,-0.9667943409090064,-0.8719568241137658,-0.6100612074848077,-0.34860079515586057,-0.08720059035750449,0.1742745632528285
6.04,-0.8480920458301545,-0.8480920458301545,-0.8480920458301545,-0.8480920458301545,-0.8480920458301545,-0.8052553598979107,-0.563394242416604,-0.32193466738461635,-0.0805301726335194,0.16094376326641566
6.05,-0.6536322141284454,-0.6536322141284454,-0.6536322141284454,-0.6536322141284454,-0.6536322141284454,-0.665351376447427,-0.46550945261835286,-0.2660009596945798,-0.06653886204202011,0.13298042275070437
6.0600000000000005,-0.40078536341957177,-0.40078536341957177,-0.40078536341957177,-0.40078536341957177,-0.40078536341957177,-0.4671368971604509,-0.3268295187625227,-0.1867566927810781,-0.04671635896372369,0.09336436889729656
6.07,-0.11213754983591952,-0.11213754983591952,-0.11213754983591952,-0.11213754983591952,-0.11213754983591952,-0.22751143567542317,-0.15917762698836257,-0.09095732173334456,-0.022752485012704493,0.045472062118321215
6.08,0.18652717710075456,0.18652717710075456,0.18652717710075456,0.18652717710075456,0.18652717710075456,0.033009083996606695,0.023094307346132287,0.013196732991322997,0.0033011904513013347,-0.006597610463959331
6.09,0.4685299868318114,0.4685299868318114,0.4685299868318114,0.4685299868318114,0.4685299868318114,0.29010446293679143,0.20297086557993346,0.11598139987003499,0.029012024940630883,-0.057981943676039795
6.1000000000000005,0.7086804082392285,0.7086804082392285,0.7086804082392285,0.7086804082392285,0.7086804082392285,0.5213312843708934,0.36474514567362065,0.20842270482912195,0.05213626819506366,-0.10419606506263078
6.11,0.885526519406877,0.885526519406877,0.885526519406877,0.885526519406877,0.885526519406877,0.7061596612473119,0.4940622603652901,0.2823162868627349,0.07061975133428135,-0.14113656085794843
