Time (s),A0 (g),Force(N)
3.951,-0.030000000000000027,0.18
3.9515,-0.040000000000000036,0.18
3.952,-0.020000000000000018,0.14
3.9525,-0.020000000000000018,0.2
3.953,-0.020000000000000018,0.05
3.9535,-0.020000000000000018,0.11
3.954,-0.020000000000000018,0.32
3.9545,-0.030000000000000027,0.15
3.955,-0.030000000000000027,0.24
3.9555,-0.020000000000000018,0.19
3.956,0.0,0.06
3.9565,-0.020000000000000018,0.13
3.957,-0.020000000000000018,0.05
3.9575,-0.030000000000000027,0.17
3.958,-0.020000000000000018,0.18
3.9585,-0.020000000000000018,0.1
3.959,-0.020000000000000018,0.15
3.959501,-0.030000000000000027,0.12
3.96,-0.020000000000000018,0.13
3.9605,-0.030000000000000027,0.17
3.961,-0.030000000000000027,0.11
3.9615,-0.030000000000000027,0.15
3.962,-0.040000000000000036,0.18
3.962501,-0.030000000000000027,0.19
3.963,-0.030000000000000027,0.26
3.9635,-0.010000000000000009,0.07
3.964,-0.020000000000000018,0.27
3.9645,-0.020000000000000018,0.24
3.965,-0.040000000000000036,0.11
3.9655,-0.020000000000000018,0.2
3.966,-0.020000000000000018,0.1
3.9665,-0.020000000000000018,0.14
3.967,-0.020000000000000018,0.08
3.9675,-0.010000000000000009,0.14
3.968,-0.020000000000000018,0.12
3.9685,-0.020000000000000018,0.26
3.969,-0.030000000000000027,0.22
3.9695,-0.020000000000000018,0.1
3.97,-0.020000000000000018,0.14
3.9705,-0.020000000000000018,0.19
3.971,-0.030000000000000027,0.26
3.9715,-0.020000000000000018,0.11
3.972,-0.030000000000000027,0.12
3.9725,-0.020000000000000018,0.1
3.973,-0.010000000000000009,0.18
3.9735,-0.020000000000000018,0.25
3.974,-0.030000000000000027,0.22
3.9745,-0.020000000000000018,0.2
3.975,-0.020000000000000018,0.44
3.975501,-0.030000000000000027,-0.02
3.976,-0.020000000000000018,0.17
3.9765,-0.010000000000000009,0.12
3.977,-0.020000000000000018,0.13
3.9775,-0.010000000000000009,0.19
3.978,-0.020000000000000018,0.02
3.9785,-0.020000000000000018,0.16
3.979,-0.030000000000000027,0.1
3.9795,-0.020000000000000018,0.2
3.98,-0.020000000000000018,0.18
3.9805,-0.030000000000000027,0.18
3.981,-0.020000000000000018,0.22
3.9815,-0.020000000000000018,0.27
3.982,-0.020000000000000018,0.12
3.9825,-0.020000000000000018,0.17
3.983,-0.020000000000000018,0.07
3.9835,-0.020000000000000018,0.08
3.984,-0.030000000000000027,0.38
3.9845,-0.020000000000000018,0.18
3.985,-0.020000000000000018,0.15
3.985501,-0.020000000000000018,0.18
3.986,0.0,0.2
3.9865,-0.020000000000000018,0.07
3.987,-0.020000000000000018,0.18
3.9875,-0.020000000000000018,0.15
3.988,-0.010000000000000009,0.18
3.9885,-0.010000000000000009,0.18
3.989,-0.020000000000000018,0.16
3.9895,-0.030000000000000027,0.15
3.99,-0.030000000000000027,0.18
3.9905,-0.020000000000000018,0.14
3.991001,-0.020000000000000018,0.14
3.9915,-0.020000000000000018,0.2
3.992,-0.030000000000000027,0.17
3.9925,-0.010000000000000009,0.27
3.993001,-0.030000000000000027,0.17
3.9935,-0.020000000000000018,0.09
3.994,-0.010000000000000009,0.18
3.9945,-0.010000000000000009,0.12
3.995,-0.010000000000000009,0.07
3.9955,-0.020000000000000018,0.16
3.996,-0.010000000000000009,0.15
3.9965,-0.010000000000000009,0.11
3.997,-0.030000000000000027,0.22
3.997501,-0.010000000000000009,0.13
3.998,-0.020000000000000018,0.23
3.9985,-0.020000000000000018,0.18
3.999,-0.020000000000000018,0.13
3.9995,-0.010000000000000009,0.22
4.0,-0.020000000000000018,0.16
4.0005,-0.010000000000000009,0.19
4.001,-0.020000000000000018,0.2
4.0015,-0.020000000000000018,0.21
4.002,-0.020000000000000018,0.21
4.0025,-0.020000000000000018,0.12
4.003,-0.010000000000000009,0.28
4.0035,-0.020000000000000018,0.1
4.004,-0.010000000000000009,0.14
4.0045,-0.010000000000000009,0.04
4.005,-0.020000000000000018,0.04
4.0055,-0.010000000000000009,0.19
4.006,-0.020000000000000018,-0.01
4.0065,-0.010000000000000009,0.27
4.007,-0.020000000000000018,0.18
4.0075,-0.020000000000000018,0.2
4.008,-0.020000000000000018,0.24
4.0085,-0.010000000000000009,0.09
4.009,0.0,0.17
4.0095,-0.010000000000000009,0.2
4.01,-0.010000000000000009,0.18
4.0105,-0.020000000000000018,0.15
4.011,-0.020000000000000018,0.13
4.0115,-0.010000000000000009,0.16
4.012,-0.020000000000000018,0.22
4.0125,-0.010000000000000009,0.11
4.013,-0.010000000000000009,0.19
4.0135,-0.010000000000000009,0.1
4.014,-0.020000000000000018,0.29
4.0145,-0.020000000000000018,0.26
4.015,-0.020000000000000018,0.19
4.0155,-0.010000000000000009,0.2
4.016,0.0,0.13
4.0165,-0.020000000000000018,0.09
4.017,0.0,0.22
4.0175,-0.020000000000000018,0.04
4.018,-0.020000000000000018,0.25
4.0185,-0.010000000000000009,0.01
4.019,-0.010000000000000009,0.14
4.0195,0.0,0.08
4.02,-0.010000000000000009,0.19
4.0205,-0.010000000000000009,0.22
4.021,0.0,0.19
4.0215,-0.010000000000000009,0.08
4.022,-0.010000000000000009,0.17
4.0225,0.0,0.2
4.023,-0.020000000000000018,0.11
4.0235,-0.010000000000000009,0.17
4.024,-0.010000000000000009,0.1
4.0245,-0.020000000000000018,0.3
4.025,-0.010000000000000009,0.14
4.0255,0.010000000000000009,0.23
4.026,-0.010000000000000009,0.11
4.0265,-0.010000000000000009,0.29
4.027,-0.010000000000000009,0.16
4.0275,-0.020000000000000018,0.27
4.028,-0.010000000000000009,0.15
4.0285,-0.010000000000000009,0.18
4.029,-0.010000000000000009,0.13
4.029501,-0.010000000000000009,0.13
4.03,-0.010000000000000009,0.14
4.0305,0.010000000000000009,0.24
4.031,0.0,0.3
4.0315,-0.020000000000000018,0.21
4.032,-0.010000000000000009,0.19
4.0325,-0.010000000000000009,0.18
4.033,-0.010000000000000009,0.16
4.0335,-0.010000000000000009,0.22
4.034,-0.020000000000000018,0.26
4.034501,-0.010000000000000009,0.18
4.035,0.0,0.11
4.0355,-0.010000000000000009,0.33
4.036,0.0,0.16
4.0365,-0.010000000000000009,0.21
4.037,-0.010000000000000009,0.18
4.0375,-0.020000000000000018,0.11
4.038,-0.010000000000000009,0.24
4.0385,0.0,0.18
4.039,-0.010000000000000009,0.17
4.0395,-0.010000000000000009,0.13
4.04,-0.010000000000000009,0.24
4.0405,-0.010000000000000009,0.15
4.041,-0.010000000000000009,-0.04
4.0415,-0.010000000000000009,0.13
4.042,-0.010000000000000009,0.35
4.0425,0.0,0.07
4.043,0.0,0.11
4.0435,-0.010000000000000009,0.2
4.044,0.0,0.21
4.0445,0.0,-0.0
4.045,-0.010000000000000009,0.16
4.0455,0.0,0.2
4.046,-0.010000000000000009,0.14
4.0465,0.0,0.27
4.047,-0.010000000000000009,0.22
4.0475,0.0,0.16
4.048001,0.010000000000000009,0.1
4.0485,-0.010000000000000009,0.36
4.049,-0.010000000000000009,0.23
4.0495,-0.010000000000000009,0.26
4.05,-0.010000000000000009,0.18
4.0505,-0.010000000000000009,0.18
4.051,-0.020000000000000018,0.21
4.0515,-0.020000000000000018,0.14
